date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-08-04,1,2026080405008831,BEDC,47,39,10,323.00,"3,230.00"
2026-08-04,2,2026080405008802,BEDC,72,39,10,323.00,"3,230.00"
2026-08-04,3,2026080405008511,BGWT,6,35,28,557.00,"15,596.00"
2026-08-04,4,2026080405008919,BHDC,41,1,10,430.00,"4,300.00"
2026-08-04,5,2026080405008800,BHDC,41,1,10,430.00,"4,300.00"
2026-08-04,6,2026080405008879,BHL,42,35,11,211.50,"2,326.50"
2026-08-04,7,2026080405008860,BHL,58,49,20,211.60,"4,232.00"
2026-08-04,8,2026080405008857,BHL,22,14,896,211.00,"189,056.00"
2026-08-04,9,2026080405008856,BHL,41,14,104,211.50,"21,996.00"
2026-08-04,10,2026080405008809,BHL,58,49,425,211.60,"89,930.00"
2026-08-04,11,2026080405008808,BHL,58,38,60,211.60,"12,696.00"
2026-08-04,12,2026080405008573,BHL,41,5,186,211.80,"39,394.80"
2026-08-04,13,2026080405008541,BHL,36,5,14,211.80,"2,965.20"
2026-08-04,14,2026080405008643,BHL,57,38,20,211.60,"4,232.00"
2026-08-04,15,2026080405008590,BHL,33,42,100,211.70,"21,170.00"
2026-08-04,16,2026080405008580,BHL,57,42,250,211.70,"52,925.00"
2026-08-04,17,2026080405008576,BHL,41,35,659,211.80,"139,576.20"
2026-08-04,18,2026080405008575,BHL,41,58,130,211.80,"27,534.00"
2026-08-04,19,2026080405008574,BHL,41,57,25,211.80,"5,295.00"
2026-08-04,20,2026080405008806,BHL,59,45,691,211.50,"146,146.50"
2026-08-04,21,2026080405008805,BHL,16,45,35,211.50,"7,402.50"
2026-08-04,22,2026080405008804,BHL,57,45,50,211.50,"10,575.00"
2026-08-04,23,2026080405008803,BHL,49,45,224,211.50,"47,376.00"
2026-08-04,24,2026080405008780,BHL,49,89,100,211.50,"21,150.00"
2026-08-04,25,2026080405008720,BHL,49,35,41,211.50,"8,671.50"
2026-08-04,26,2026080405008987,BHPL,58,74,10,483.00,"4,830.00"
2026-08-04,27,2026080405008812,BHPL,58,13,30,475.00,"14,250.00"
2026-08-04,28,2026080405008811,BHPL,58,13,100,475.00,"47,500.00"
2026-08-04,29,2026080405008810,BHPL,41,13,150,475.10,"71,265.00"
2026-08-04,30,2026080405008749,BHPL,34,43,11,484.00,"5,324.00"
2026-08-04,31,2026080405008748,BHPL,34,58,10,483.00,"4,830.00"
2026-08-04,32,2026080405008747,BHPL,34,47,79,482.90,"38,149.10"
2026-08-04,33,2026080405008659,BHPL,34,47,21,482.90,"10,140.90"
2026-08-04,34,2026080405008658,BHPL,34,65,19,482.90,"9,175.10"
2026-08-04,35,2026080405008510,BHPL,58,65,181,482.90,"87,404.90"
2026-08-04,36,2026080405008509,BHPL,58,22,30,482.90,"14,487.00"
2026-08-04,37,2026080405008508,BHPL,58,66,289,482.50,"139,442.50"
2026-08-04,38,2026080405008502,BNHC,58,91,30,278.00,"8,340.00"
2026-08-04,39,2026080405008982,CHDC,49,50,10,"2,214.90","22,149.00"
2026-08-04,40,2026080405008738,CHDC,52,45,44,"2,210.00","97,240.00"
2026-08-04,41,2026080405008737,CHDC,74,45,37,"2,215.00","81,955.00"
2026-08-04,42,2026080405008593,CHDC,74,32,33,"2,215.00","73,095.00"
2026-08-04,43,2026080405008565,CHDC,74,64,30,"2,215.00","66,450.00"
2026-08-04,44,2026080405008904,CIT,65,59,10,"1,714.90","17,149.00"
2026-08-04,45,2026080405008814,CIT,34,59,10,"1,714.90","17,149.00"
