date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-07-29,1,2026072905009239,BBC,54,41,10,"4,300.00","43,000.00"
2026-07-29,2,2026072905008842,BEDC,52,59,80,322.10,"25,768.00"
2026-07-29,3,2026072905008841,BEDC,44,59,910,322.20,"293,202.00"
2026-07-29,4,2026072905008867,BEDC,52,70,"1,000",322.10,"322,100.00"
2026-07-29,5,2026072905008901,BEDC,52,58,300,322.10,"96,630.00"
2026-07-29,6,2026072905008981,BEDC,62,1,20,322.30,"6,446.00"
2026-07-29,7,2026072905008964,BEDC,52,59,10,322.10,"3,221.00"
2026-07-29,8,2026072905008935,BEDC,52,32,20,322.10,"6,442.00"
2026-07-29,9,2026072905009081,BEDC,52,8,119,322.10,"38,329.90"
2026-07-29,10,2026072905009026,BEDC,52,8,51,322.10,"16,427.10"
2026-07-29,11,2026072905009025,BEDC,62,8,80,322.30,"25,784.00"
2026-07-29,12,2026072905009024,BEDC,54,8,50,322.40,"16,120.00"
2026-07-29,13,2026072905009267,BGWT,47,48,10,597.00,"5,970.00"
2026-07-29,14,2026072905009108,BGWT,47,48,10,597.00,"5,970.00"
2026-07-29,15,2026072905009107,BGWT,47,57,10,595.00,"5,950.00"
2026-07-29,16,2026072905009106,BGWT,47,34,19,593.00,"11,267.00"
2026-07-29,17,2026072905008817,BGWT,47,7,11,589.00,"6,479.00"
2026-07-29,18,2026072905008816,BGWT,47,57,40,589.00,"23,560.00"
2026-07-29,19,2026072905008815,BGWT,47,35,20,588.00,"11,760.00"
2026-07-29,20,2026072905008814,BGWT,47,49,100,585.00,"58,500.00"
2026-07-29,21,2026072905008813,BGWT,47,89,10,584.00,"5,840.00"
2026-07-29,22,2026072905009055,BGWT,47,56,79,590.00,"46,610.00"
2026-07-29,23,2026072905009054,BGWT,47,42,10,589.00,"5,890.00"
2026-07-29,24,2026072905008821,BGWT,47,56,21,590.00,"12,390.00"
2026-07-29,25,2026072905008820,BGWT,47,49,11,590.00,"6,490.00"
2026-07-29,26,2026072905008819,BGWT,47,74,20,590.00,"11,800.00"
2026-07-29,27,2026072905008818,BGWT,47,57,17,590.00,"10,030.00"
2026-07-29,28,2026072905009105,BGWT,47,43,11,592.00,"6,512.00"
2026-07-29,29,2026072905009058,BGWT,47,62,11,592.00,"6,512.00"
2026-07-29,30,2026072905009057,BGWT,47,80,11,592.00,"6,512.00"
2026-07-29,31,2026072905009056,BGWT,47,48,130,590.10,"76,713.00"
2026-07-29,32,2026072905009102,BHDC,41,58,10,433.90,"4,339.00"
2026-07-29,33,2026072905009231,BHL,34,57,20,213.00,"4,260.00"
2026-07-29,34,2026072905009230,BHL,34,7,100,213.00,"21,300.00"
2026-07-29,35,2026072905009204,BHL,58,22,30,212.90,"6,387.00"
2026-07-29,36,2026072905009203,BHL,58,22,10,212.90,"2,129.00"
2026-07-29,37,2026072905008858,BHL,17,7,20,213.00,"4,260.00"
2026-07-29,38,2026072905009277,BHPL,19,48,326,472.10,"153,904.60"
2026-07-29,39,2026072905009276,BHPL,50,48,30,472.20,"14,166.00"
