date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-09-22,1,2026092205019465,SIKLES,25,56,10,585.00,"5,850.00"
2026-09-22,2,2026092205019464,SIKLES,65,58,10,576.20,"5,762.00"
2026-09-22,3,2026092205019463,MANDU,66,58,10,754.00,"7,540.00"
2026-09-22,4,2026092205019462,SONA,46,45,10,404.00,"4,040.00"
2026-09-22,5,2026092205019461,SHIVM,59,48,155,684.10,"106,035.50"
2026-09-22,6,2026092205019460,SHIVM,49,48,845,685.00,"578,825.00"
2026-09-22,7,2026092205019459,HDL,33,48,50,"1,284.00","64,200.00"
2026-09-22,8,2026092205019458,SHIVM,49,6,200,685.00,"137,000.00"
2026-09-22,9,2026092205019457,SHIVM,49,74,955,685.00,"654,175.00"
2026-09-22,10,2026092205019456,GCIL,42,45,271,382.00,"103,522.00"
2026-09-22,11,2026092205019455,GCIL,42,28,314,381.80,"119,885.20"
2026-09-22,12,2026092205019454,GCIL,42,16,200,381.80,"76,360.00"
2026-09-22,13,2026092205019453,GCIL,42,45,50,381.50,"19,075.00"
2026-09-22,14,2026092205019452,GCIL,42,22,880,381.50,"335,720.00"
2026-09-22,15,2026092205019451,GCIL,42,42,100,381.00,"38,100.00"
2026-09-22,16,2026092205019450,GCIL,42,56,385,381.00,"146,685.00"
2026-09-22,17,2026092205019449,NRIC,14,83,10,832.00,"8,320.00"
2026-09-22,18,2026092205019448,HDL,57,48,100,"1,284.00","128,400.00"
2026-09-22,19,2026092205019447,NRN,80,71,320,"1,448.00","463,360.00"
2026-09-22,20,2026092205019446,CKHL,57,50,10,588.00,"5,880.00"
2026-09-22,21,2026092205019445,USHL,85,35,10,515.00,"5,150.00"
2026-09-22,22,2026092205019444,SONA,17,45,20,404.00,"8,080.00"
2026-09-22,23,2026092205019443,NIFRA,58,34,10,257.90,"2,579.00"
2026-09-22,24,2026092205019442,SANVI,49,49,10,580.00,"5,800.00"
2026-09-22,25,2026092205019441,BEDC,62,42,10,315.90,"3,159.00"
2026-09-22,26,2026092205019440,SHIVM,34,74,10,685.00,"6,850.00"
2026-09-22,27,2026092205019439,PPL,58,45,300,333.00,"99,900.00"
2026-09-22,28,2026092205019438,TAMOR,84,21,30,533.00,"15,990.00"
2026-09-22,29,2026092205019437,HATHY,38,26,10,489.00,"4,890.00"
2026-09-22,30,2026092205019436,MKHC,13,40,23,265.00,"6,095.00"
2026-09-22,31,2026092205019435,HATHY,99,26,10,489.00,"4,890.00"
2026-09-22,32,2026092205019434,EHPL,29,58,20,333.80,"6,676.00"
2026-09-22,33,2026092205019433,ENL,60,71,10,559.00,"5,590.00"
2026-09-22,34,2026092205019432,HHL,4,92,52,342.00,"17,784.00"
2026-09-22,35,2026092205019431,HHL,4,59,38,341.50,"12,977.00"
2026-09-22,36,2026092205019430,HHL,4,14,40,341.30,"13,652.00"
2026-09-22,37,2026092205019429,HDL,58,49,12,"1,283.00","15,396.00"
2026-09-22,38,2026092205019428,MAKAR,42,98,"1,688",418.20,"705,921.60"
2026-09-22,39,2026092205019427,MAKAR,56,98,"2,000",418.50,"837,000.00"
2026-09-22,40,2026092205019426,MAKAR,34,98,220,418.50,"92,070.00"
2026-09-22,41,2026092205019425,MAKAR,58,98,11,418.80,"4,606.80"
2026-09-22,42,2026092205019424,MAKAR,13,98,100,418.80,"41,880.00"
2026-09-22,43,2026092205019423,MAKAR,1,98,81,419.00,"33,939.00"
2026-09-22,44,2026092205019422,CLI,58,19,190,440.20,"83,638.00"
2026-09-22,45,2026092205019421,SMJC,35,41,10,420.90,"4,209.00"
2026-09-22,46,2026092205019420,STC,6,34,10,"5,590.00","55,900.00"
2026-09-22,47,2026092205019419,HATHY,6,26,20,489.00,"9,780.00"
2026-09-22,48,2026092205019418,ILI,58,42,10,435.00,"4,350.00"
2026-09-22,49,2026092205019417,TAMOR,64,43,"1,580",531.60,"839,928.00"
2026-09-22,50,2026092205019416,TAMOR,64,43,200,531.60,"106,320.00"
2026-09-22,51,2026092205019415,TAMOR,58,43,100,531.60,"53,160.00"
2026-09-22,52,2026092205019414,TAMOR,74,43,50,531.70,"26,585.00"
2026-09-22,53,2026092205019413,TAMOR,54,43,50,532.00,"26,600.00"
2026-09-22,54,2026092205019412,TAMOR,46,43,20,532.00,"10,640.00"
2026-09-22,55,2026092205019411,MEHL,57,81,700,259.00,"181,300.00"
2026-09-22,56,2026092205019410,VLUCL,14,32,10,395.90,"3,959.00"
2026-09-22,57,2026092205019409,CLI,29,52,10,441.00,"4,410.00"
2026-09-22,58,2026092205019408,HDL,58,62,100,"1,283.00","128,300.00"
2026-09-22,59,2026092205019407,HDL,58,22,190,"1,283.00","243,770.00"
2026-09-22,60,2026092205019406,HDL,58,22,10,"1,283.00","12,830.00"
2026-09-22,61,2026092205019405,RFPL,34,45,20,341.00,"6,820.00"
2026-09-22,62,2026092205019404,HIDCL,7,58,10,262.00,"2,620.00"
2026-09-22,63,2026092205019403,HRL,38,45,32,517.20,"16,550.40"
2026-09-22,64,2026092205019402,DOLTI,6,1,30,307.00,"9,210.00"
2026-09-22,65,2026092205019401,TAMOR,22,21,20,533.00,"10,660.00"
2026-09-22,66,2026092205019400,NTC,92,65,211,920.00,"194,120.00"
2026-09-22,67,2026092205019399,NTC,92,49,50,920.00,"46,000.00"
2026-09-22,68,2026092205019398,NTC,92,58,229,920.00,"210,680.00"
2026-09-22,69,2026092205019397,NTC,92,54,10,915.00,"9,150.00"
2026-09-22,70,2026092205019396,CIT,18,51,10,"1,749.00","17,490.00"
2026-09-22,71,2026092205019395,CIT,18,17,20,"1,748.00","34,960.00"
2026-09-22,72,2026092205019394,TPC,26,42,10,369.90,"3,699.00"
2026-09-22,73,2026092205019393,PPL,61,38,76,334.00,"25,384.00"
2026-09-22,74,2026092205019392,SPL,82,25,10,618.30,"6,183.00"
2026-09-22,75,2026092205019391,SPL,82,58,10,618.00,"6,180.00"
2026-09-22,76,2026092205019390,SPL,82,56,15,615.00,"9,225.00"
2026-09-22,77,2026092205019389,SPL,82,32,150,612.00,"91,800.00"
2026-09-22,78,2026092205019388,SPL,82,58,10,611.00,"6,110.00"
2026-09-22,79,2026092205019387,RAWA,38,38,50,428.00,"21,400.00"
2026-09-22,80,2026092205019386,HATHY,3,26,550,489.00,"268,950.00"
2026-09-22,81,2026092205019385,SONA,57,45,60,404.00,"24,240.00"
2026-09-22,82,2026092205019384,SONA,57,5,10,404.00,"4,040.00"
2026-09-22,83,2026092205019383,HHL,84,14,10,341.30,"3,413.00"
2026-09-22,84,2026092205019382,HHL,84,42,30,341.00,"10,230.00"
2026-09-22,85,2026092205019381,MAKAR,1,48,70,419.00,"29,330.00"
2026-09-22,86,2026092205019380,MAKAR,1,18,349,418.90,"146,196.10"
2026-09-22,87,2026092205019379,MCHL,42,58,20,272.00,"5,440.00"
2026-09-22,88,2026092205019378,BEDC,74,53,500,315.00,"157,500.00"
2026-09-22,89,2026092205019377,HDL,58,22,10,"1,283.00","12,830.00"
2026-09-22,90,2026092205019376,HDL,13,22,89,"1,283.00","114,187.00"
2026-09-22,91,2026092205019375,PPL,61,36,20,334.00,"6,680.00"
2026-09-22,92,2026092205019374,PPL,61,58,75,334.00,"25,050.00"
2026-09-22,93,2026092205019373,PPL,61,43,300,334.00,"100,200.00"
