date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-08-18,1,2026081805010274,AHL,40,10,25,408.00,"10,200.00"
2026-08-18,2,2026081805010273,AHL,11,10,50,408.00,"20,400.00"
2026-08-18,3,2026081805010272,AHL,64,10,105,408.00,"42,840.00"
2026-08-18,4,2026081805010271,AHL,89,10,70,408.10,"28,567.00"
2026-08-18,5,2026081805010270,AHL,19,10,60,408.20,"24,492.00"
2026-08-18,6,2026081805010269,AHL,26,10,30,408.20,"12,246.00"
2026-08-18,7,2026081805010268,AHL,38,10,58,408.20,"23,675.60"
2026-08-18,8,2026081805010336,BEDC,41,41,10,313.50,"3,135.00"
2026-08-18,9,2026081805010335,BEDC,41,1,30,313.00,"9,390.00"
2026-08-18,10,2026081805010121,BEDC,11,1,10,313.00,"3,130.00"
2026-08-18,11,2026081805010099,BEDC,7,1,10,313.00,"3,130.00"
2026-08-18,12,2026081805010429,BGWT,32,47,100,500.00,"50,000.00"
2026-08-18,13,2026081805010428,BGWT,57,47,21,500.00,"10,500.00"
2026-08-18,14,2026081805010427,BGWT,80,47,50,505.00,"25,250.00"
2026-08-18,15,2026081805010426,BGWT,94,47,50,507.00,"25,350.00"
2026-08-18,16,2026081805010425,BGWT,52,47,50,510.00,"25,500.00"
2026-08-18,17,2026081805010424,BGWT,49,47,100,510.00,"51,000.00"
2026-08-18,18,2026081805010079,BGWT,49,47,50,521.10,"26,055.00"
2026-08-18,19,2026081805010078,BGWT,51,47,25,522.00,"13,050.00"
2026-08-18,20,2026081805010077,BGWT,4,47,10,522.00,"5,220.00"
2026-08-18,21,2026081805010085,BGWT,35,47,10,519.00,"5,190.00"
2026-08-18,22,2026081805010084,BGWT,51,47,10,519.00,"5,190.00"
2026-08-18,23,2026081805010083,BGWT,8,47,20,520.00,"10,400.00"
2026-08-18,24,2026081805010082,BGWT,22,47,98,520.00,"50,960.00"
2026-08-18,25,2026081805010081,BGWT,58,47,50,521.00,"26,050.00"
2026-08-18,26,2026081805010080,BGWT,25,47,100,521.00,"52,100.00"
2026-08-18,27,2026081805010089,BGWT,48,47,187,515.10,"96,323.70"
2026-08-18,28,2026081805010088,BGWT,16,47,24,518.00,"12,432.00"
2026-08-18,29,2026081805010087,BGWT,35,47,31,518.00,"16,058.00"
2026-08-18,30,2026081805010086,BGWT,43,47,385,519.00,"199,815.00"
2026-08-18,31,2026081805010423,BGWT,44,47,10,510.00,"5,100.00"
2026-08-18,32,2026081805010422,BGWT,32,47,100,510.00,"51,000.00"
2026-08-18,33,2026081805010421,BGWT,42,47,50,513.00,"25,650.00"
2026-08-18,34,2026081805010420,BGWT,17,47,30,515.00,"15,450.00"
2026-08-18,35,2026081805010419,BGWT,58,47,96,515.00,"49,440.00"
2026-08-18,36,2026081805010418,BGWT,48,47,13,515.10,"6,696.30"
2026-08-18,37,2026081805010181,BHDC,45,36,77,424.20,"32,663.40"
2026-08-18,38,2026081805010180,BHDC,58,36,23,424.30,"9,758.90"
2026-08-18,39,2026081805010176,BHDC,35,16,400,424.80,"169,920.00"
2026-08-18,40,2026081805010107,BHDC,22,16,62,424.80,"26,337.60"
2026-08-18,41,2026081805010297,BHL,26,22,10,207.60,"2,076.00"
2026-08-18,42,2026081805010233,BHL,45,32,500,207.00,"103,500.00"
