date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-08-12,1,2026081205009648,BEDC,53,16,15,316.00,"4,740.00"
2026-08-12,2,2026081205009580,BEDC,72,16,10,316.00,"3,160.00"
2026-08-12,3,2026081205009227,BGWT,25,38,10,537.60,"5,376.00"
2026-08-12,4,2026081205009470,BHL,26,45,300,207.70,"62,310.00"
2026-08-12,5,2026081205009390,BHL,26,1,20,207.70,"4,154.00"
2026-08-12,6,2026081205009345,BHL,35,45,47,208.00,"9,776.00"
2026-08-12,7,2026081205009344,BHL,35,43,25,208.00,"5,200.00"
2026-08-12,8,2026081205009343,BHL,35,58,28,208.00,"5,824.00"
2026-08-12,9,2026081205009507,BNHC,33,6,15,281.60,"4,224.00"
2026-08-12,10,2026081205009205,BNHC,58,54,45,282.00,"12,690.00"
2026-08-12,11,2026081205009665,CHDC,86,6,70,"2,238.00","156,660.00"
2026-08-12,12,2026081205009664,CHDC,86,48,30,"2,237.00","67,110.00"
2026-08-12,13,2026081205009641,CHDC,21,48,20,"2,237.00","44,740.00"
2026-08-12,14,2026081205009640,CHDC,21,40,40,"2,228.00","89,120.00"
2026-08-12,15,2026081205009627,CHDC,49,40,10,"2,228.00","22,280.00"
2026-08-12,16,2026081205009603,CHDC,48,33,30,"2,227.00","66,810.00"
2026-08-12,17,2026081205009524,CHDC,21,40,23,"2,228.00","51,244.00"
2026-08-12,18,2026081205009523,CHDC,38,40,17,"2,228.00","37,876.00"
2026-08-12,19,2026081205009618,CIT,18,13,10,"1,704.70","17,047.00"
2026-08-12,20,2026081205009363,CIT,89,49,80,"1,700.00","136,000.00"
2026-08-12,21,2026081205009362,CIT,54,49,30,"1,700.00","51,000.00"
2026-08-12,22,2026081205009361,CIT,42,49,90,"1,700.10","153,009.00"
2026-08-12,23,2026081205009177,CIT,57,49,35,"1,701.00","59,535.00"
2026-08-12,24,2026081205009176,CIT,38,49,17,"1,703.00","28,951.00"
2026-08-12,25,2026081205009661,CKHL,82,39,30,609.00,"18,270.00"
2026-08-12,26,2026081205009660,CKHL,82,56,10,601.00,"6,010.00"
2026-08-12,27,2026081205009659,CKHL,82,3,100,599.40,"59,940.00"
2026-08-12,28,2026081205009658,CKHL,82,41,500,598.10,"299,050.00"
2026-08-12,29,2026081205009657,CKHL,82,25,50,598.10,"29,905.00"
2026-08-12,30,2026081205009656,CKHL,82,13,10,598.10,"5,981.00"
2026-08-12,31,2026081205009655,CKHL,82,58,80,598.00,"47,840.00"
2026-08-12,32,2026081205009654,CKHL,82,32,20,598.00,"11,960.00"
2026-08-12,33,2026081205009653,CKHL,82,90,400,596.00,"238,400.00"
2026-08-12,34,2026081205009475,CKHL,52,62,10,595.00,"5,950.00"
