date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-08-14,1,2026081405009111,AHL,44,13,50,420.50,"21,025.00"
2026-08-14,2,2026081405009050,AHL,56,57,90,420.80,"37,872.00"
2026-08-14,3,2026081405009049,AHL,56,58,10,420.70,"4,207.00"
2026-08-14,4,2026081405008794,AHL,45,58,10,420.00,"4,200.00"
2026-08-14,5,2026081405009073,BEDC,16,4,410,319.40,"130,954.00"
2026-08-14,6,2026081405008806,BEDC,57,35,10,319.30,"3,193.00"
2026-08-14,7,2026081405008805,BEDC,57,90,200,319.00,"63,800.00"
2026-08-14,8,2026081405008804,BEDC,57,47,30,319.00,"9,570.00"
2026-08-14,9,2026081405008808,BEDC,57,4,90,319.40,"28,746.00"
2026-08-14,10,2026081405008807,BEDC,57,83,30,319.40,"9,582.00"
2026-08-14,11,2026081405009150,BGWT,45,47,100,514.10,"51,410.00"
2026-08-14,12,2026081405009149,BGWT,47,47,20,515.00,"10,300.00"
2026-08-14,13,2026081405009148,BGWT,34,47,"1,000",520.00,"520,000.00"
2026-08-14,14,2026081405009147,BGWT,77,47,21,520.00,"10,920.00"
2026-08-14,15,2026081405009146,BGWT,49,47,50,520.00,"26,000.00"
2026-08-14,16,2026081405008738,BGWT,22,57,70,525.00,"36,750.00"
2026-08-14,17,2026081405009139,BGWT,22,47,64,525.00,"33,600.00"
2026-08-14,18,2026081405009138,BGWT,41,47,13,530.00,"6,890.00"
2026-08-14,19,2026081405009137,BGWT,34,74,10,533.00,"5,330.00"
2026-08-14,20,2026081405009037,BGWT,41,58,17,530.00,"9,010.00"
2026-08-14,21,2026081405009145,BGWT,45,47,50,520.00,"26,000.00"
2026-08-14,22,2026081405009144,BGWT,49,47,100,520.00,"52,000.00"
2026-08-14,23,2026081405009143,BGWT,49,47,100,520.00,"52,000.00"
2026-08-14,24,2026081405009142,BGWT,38,47,25,520.00,"13,000.00"
2026-08-14,25,2026081405009141,BGWT,43,47,100,520.20,"52,020.00"
2026-08-14,26,2026081405009140,BGWT,38,47,10,525.00,"5,250.00"
2026-08-14,27,2026081405008908,BHDC,1,16,10,428.00,"4,280.00"
2026-08-14,28,2026081405008874,BHDC,41,58,11,428.00,"4,708.00"
2026-08-14,29,2026081405008994,BHL,62,7,10,211.00,"2,110.00"
2026-08-14,30,2026081405008912,BHL,57,42,200,211.20,"42,240.00"
2026-08-14,31,2026081405008911,BHL,26,42,860,211.20,"181,632.00"
2026-08-14,32,2026081405008910,BHL,19,42,52,211.60,"11,003.20"
2026-08-14,33,2026081405008883,BHPL,34,50,10,489.90,"4,899.00"
2026-08-14,34,2026081405008831,BHPL,34,22,20,489.70,"9,794.00"
2026-08-14,35,2026081405008830,BHPL,34,14,100,488.00,"48,800.00"
2026-08-14,36,2026081405008829,BHPL,34,95,90,488.00,"43,920.00"
2026-08-14,37,2026081405008828,BHPL,34,33,120,487.50,"58,500.00"
2026-08-14,38,2026081405008827,BHPL,34,59,120,486.90,"58,428.00"
2026-08-14,39,2026081405008826,BHPL,34,1,260,486.50,"126,490.00"
2026-08-14,40,2026081405008825,BHPL,34,1,190,486.00,"92,340.00"
2026-08-14,41,2026081405008716,BHPL,34,1,10,486.00,"4,860.00"
2026-08-14,42,2026081405009165,BNHC,94,32,40,282.90,"11,316.00"
2026-08-14,43,2026081405009164,BNHC,94,32,10,282.00,"2,820.00"
2026-08-14,44,2026081405008863,BNHC,42,45,165,280.00,"46,200.00"
2026-08-14,45,2026081405008862,BNHC,92,45,200,280.00,"56,000.00"
2026-08-14,46,2026081405008861,BNHC,7,45,50,280.00,"14,000.00"
2026-08-14,47,2026081405008860,BNHC,77,45,137,281.00,"38,497.00"
2026-08-14,48,2026081405008752,BNHC,47,81,100,282.00,"28,200.00"
2026-08-14,49,2026081405008859,BNHC,34,45,508,281.00,"142,748.00"
2026-08-14,50,2026081405008858,BNHC,58,45,10,281.00,"2,810.00"
2026-08-14,51,2026081405008857,BNHC,42,45,180,281.00,"50,580.00"
