date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-07-09,1,2026070905008236,BBC,36,26,25,"4,101.00","102,525.00"
2026-07-09,2,2026070905008235,BBC,11,26,10,"4,103.00","41,030.00"
2026-07-09,3,2026070905008234,BBC,45,26,10,"4,107.00","41,070.00"
2026-07-09,4,2026070905008233,BBC,49,26,10,"4,110.00","41,100.00"
2026-07-09,5,2026070905008232,BBC,58,26,10,"4,110.00","41,100.00"
2026-07-09,6,2026070905008231,BBC,39,26,10,"4,111.00","41,110.00"
2026-07-09,7,2026070905008230,BBC,64,26,20,"4,112.00","82,240.00"
2026-07-09,8,2026070905008634,BEDC,41,34,10,317.90,"3,179.00"
2026-07-09,9,2026070905008633,BEDC,41,1,10,317.00,"3,170.00"
2026-07-09,10,2026070905008632,BEDC,41,58,10,317.00,"3,170.00"
2026-07-09,11,2026070905008271,BEDC,41,25,10,316.80,"3,168.00"
2026-07-09,12,2026070905008386,BEDC,42,25,290,316.80,"91,872.00"
2026-07-09,13,2026070905008451,BEDC,41,58,10,317.00,"3,170.00"
2026-07-09,14,2026070905008441,BEDC,4,8,150,316.00,"47,400.00"
2026-07-09,15,2026070905008440,BEDC,42,8,140,316.80,"44,352.00"
2026-07-09,16,2026070905008269,BGWT,57,29,17,560.00,"9,520.00"
2026-07-09,17,2026070905008646,BHDC,47,45,10,429.00,"4,290.00"
2026-07-09,18,2026070905008645,BHDC,47,29,10,428.90,"4,289.00"
2026-07-09,19,2026070905008198,BHDC,57,29,239,427.40,"102,148.60"
2026-07-09,20,2026070905008197,BHDC,7,29,39,427.50,"16,672.50"
2026-07-09,21,2026070905008557,BHL,19,22,24,205.00,"4,920.00"
2026-07-09,22,2026070905008556,BHL,25,22,300,205.00,"61,500.00"
2026-07-09,23,2026070905008555,BHL,57,22,100,205.00,"20,500.00"
2026-07-09,24,2026070905008554,BHL,42,22,"1,000",205.00,"205,000.00"
2026-07-09,25,2026070905008553,BHL,59,22,26,205.00,"5,330.00"
2026-07-09,26,2026070905008552,BHL,57,22,100,205.20,"20,520.00"
2026-07-09,27,2026070905008547,BHL,17,57,10,205.70,"2,057.00"
2026-07-09,28,2026070905008416,BHL,59,58,20,205.00,"4,100.00"
2026-07-09,29,2026070905008415,BHL,59,58,30,205.10,"6,153.00"
2026-07-09,30,2026070905008208,BHL,59,36,50,205.00,"10,250.00"
2026-07-09,31,2026070905008660,BHPL,48,86,10,489.00,"4,890.00"
2026-07-09,32,2026070905008291,BHPL,38,7,59,480.10,"28,325.90"
2026-07-09,33,2026070905008290,BHPL,33,7,100,480.50,"48,050.00"
2026-07-09,34,2026070905008289,BHPL,38,7,100,481.00,"48,100.00"
2026-07-09,35,2026070905008288,BHPL,3,7,11,482.00,"5,302.00"
2026-07-09,36,2026070905008287,BHPL,59,7,100,482.00,"48,200.00"
2026-07-09,37,2026070905008286,BHPL,29,7,40,482.00,"19,280.00"
2026-07-09,38,2026070905008285,BHPL,57,7,50,482.00,"24,100.00"
2026-07-09,39,2026070905008284,BHPL,48,7,20,483.00,"9,660.00"
2026-07-09,40,2026070905008283,BHPL,21,7,20,485.00,"9,700.00"
2026-07-09,41,2026070905008549,BNHC,45,4,90,300.10,"27,009.00"
2026-07-09,42,2026070905008246,BNHC,90,4,10,300.10,"3,001.00"
2026-07-09,43,2026070905008245,BNHC,90,34,10,300.10,"3,001.00"
2026-07-09,44,2026070905008662,CHDC,59,4,10,"2,109.00","21,090.00"
2026-07-09,45,2026070905008337,CHDC,32,39,42,"2,100.00","88,200.00"
2026-07-09,46,2026070905008336,CHDC,47,39,20,"2,100.00","42,000.00"
2026-07-09,47,2026070905008335,CHDC,45,39,500,"2,100.00","1,050,000.00"
2026-07-09,48,2026070905008334,CHDC,58,39,11,"2,100.00","23,100.00"
2026-07-09,49,2026070905008333,CHDC,20,39,105,"2,100.20","220,521.00"
2026-07-09,50,2026070905008332,CHDC,39,39,200,"2,100.30","420,060.00"
2026-07-09,51,2026070905008331,CHDC,39,39,122,"2,100.30","256,236.60"
2026-07-09,52,2026070905008462,CIT,38,7,192,"1,683.00","323,136.00"
2026-07-09,53,2026070905008461,CIT,35,7,20,"1,683.00","33,660.00"
2026-07-09,54,2026070905008460,CIT,52,7,15,"1,683.00","25,245.00"
2026-07-09,55,2026070905008459,CIT,19,7,27,"1,683.00","45,441.00"
2026-07-09,56,2026070905008458,CIT,5,7,30,"1,683.00","50,490.00"
2026-07-09,57,2026070905008457,CIT,56,7,15,"1,683.00","25,245.00"
2026-07-09,58,2026070905008456,CIT,32,7,10,"1,683.00","16,830.00"
2026-07-09,59,2026070905008455,CIT,44,7,100,"1,683.10","168,310.00"
2026-07-09,60,2026070905008454,CIT,47,7,50,"1,683.10","84,155.00"
2026-07-09,61,2026070905008453,CIT,14,7,10,"1,684.00","16,840.00"
2026-07-09,62,2026070905008452,CIT,38,7,30,"1,684.00","50,520.00"
2026-07-09,63,2026070905008204,CIT,38,58,70,"1,684.00","117,880.00"
2026-07-09,64,2026070905008639,CKHL,57,63,10,582.40,"5,824.00"
2026-07-09,65,2026070905008638,CKHL,57,45,10,578.00,"5,780.00"
2026-07-09,66,2026070905008450,CLI,95,26,444,444.00,"197,136.00"
2026-07-09,67,2026070905008449,CLI,95,34,13,444.00,"5,772.00"
2026-07-09,68,2026070905008381,CLI,51,58,2,443.00,886.00
2026-07-09,69,2026070905008625,DOLTI,65,58,500,321.00,"160,500.00"
2026-07-09,70,2026070905008580,DOLTI,54,58,50,321.00,"16,050.00"
2026-07-09,71,2026070905008579,DOLTI,41,58,10,321.00,"3,210.00"
2026-07-09,72,2026070905008578,DOLTI,41,58,10,321.00,"3,210.00"
2026-07-09,73,2026070905008577,DOLTI,58,58,13,321.00,"4,173.00"
2026-07-09,74,2026070905008576,DOLTI,58,58,10,321.00,"3,210.00"
2026-07-09,75,2026070905008238,DOLTI,45,8,80,322.00,"25,760.00"
2026-07-09,76,2026070905008223,DOLTI,45,44,10,322.00,"3,220.00"
2026-07-09,77,2026070905008244,DOLTI,4,8,683,321.00,"219,243.00"
2026-07-09,78,2026070905008243,DOLTI,49,8,250,321.10,"80,275.00"
2026-07-09,79,2026070905008242,DOLTI,35,8,100,321.20,"32,120.00"
2026-07-09,80,2026070905008241,DOLTI,58,8,12,321.50,"3,858.00"
2026-07-09,81,2026070905008240,DOLTI,8,8,25,321.60,"8,040.00"
2026-07-09,82,2026070905008239,DOLTI,58,8,150,321.70,"48,255.00"
