date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-06-17,1,2026061705012665,AHL,22,89,80,478.90,"38,312.00"
2026-06-17,2,2026061705012664,AHL,22,11,30,478.80,"14,364.00"
2026-06-17,3,2026061705012663,AHL,22,89,90,478.70,"43,083.00"
2026-06-17,4,2026061705012545,AHL,22,89,10,478.70,"4,787.00"
2026-06-17,5,2026061705012551,BBC,94,59,10,"4,240.00","42,400.00"
2026-06-17,6,2026061705012973,BEDC,58,74,100,375.00,"37,500.00"
2026-06-17,7,2026061705012791,BEDC,5,74,200,375.00,"75,000.00"
2026-06-17,8,2026061705012741,BEDC,14,33,8,386.00,"3,088.00"
2026-06-17,9,2026061705012691,BEDC,45,74,40,375.00,"15,000.00"
2026-06-17,10,2026061705012624,BEDC,58,1,12,375.00,"4,500.00"
2026-06-17,11,2026061705012623,BEDC,6,1,188,375.00,"70,500.00"
2026-06-17,12,2026061705012580,BEDC,6,33,12,375.00,"4,500.00"
2026-06-17,13,2026061705012538,BEDC,4,25,175,375.20,"65,660.00"
2026-06-17,14,2026061705012510,BEDC,58,25,27,375.20,"10,130.40"
2026-06-17,15,2026061705012531,BGWT,7,5,52,650.00,"33,800.00"
2026-06-17,16,2026061705012880,BHDC,41,35,10,457.00,"4,570.00"
2026-06-17,17,2026061705012879,BHDC,41,39,10,456.00,"4,560.00"
2026-06-17,18,2026061705012912,BHL,76,38,110,216.00,"23,760.00"
2026-06-17,19,2026061705012911,BHL,45,38,50,216.00,"10,800.00"
2026-06-17,20,2026061705012910,BHL,47,38,200,216.00,"43,200.00"
2026-06-17,21,2026061705012860,BHL,47,46,400,216.00,"86,400.00"
2026-06-17,22,2026061705012667,BHL,47,1,200,216.00,"43,200.00"
2026-06-17,23,2026061705012648,BHL,34,21,61,217.00,"13,237.00"
2026-06-17,24,2026061705012647,BHL,34,58,"1,324",216.80,"287,043.20"
2026-06-17,25,2026061705012646,BHL,34,74,990,216.70,"214,533.00"
2026-06-17,26,2026061705012497,BHL,34,54,200,216.00,"43,200.00"
2026-06-17,27,2026061705012486,BHL,34,58,20,216.00,"4,320.00"
2026-06-17,28,2026061705012733,BNHC,25,47,100,322.80,"32,280.00"
2026-06-17,29,2026061705012505,BNHC,25,47,50,322.80,"16,140.00"
2026-06-17,30,2026061705012504,BNHC,29,47,50,322.80,"16,140.00"
2026-06-17,31,2026061705012490,BNHC,47,58,200,323.90,"64,780.00"
2026-06-17,32,2026061705012489,BNHC,47,21,10,323.80,"3,238.00"
2026-06-17,33,2026061705012971,CHDC,32,66,49,"2,280.00","111,720.00"
2026-06-17,34,2026061705012970,CHDC,32,32,18,"2,279.90","41,038.20"
2026-06-17,35,2026061705012969,CHDC,32,46,123,"2,279.00","280,317.00"
2026-06-17,36,2026061705012968,CHDC,32,36,10,"2,278.90","22,789.00"
2026-06-17,37,2026061705012692,CHDC,85,14,10,"2,278.90","22,789.00"
2026-06-17,38,2026061705012533,CHDC,42,66,500,"2,247.00","1,123,500.00"
2026-06-17,39,2026061705012749,CIT,7,16,50,"1,732.00","86,600.00"
2026-06-17,40,2026061705012525,CIT,71,16,82,"1,732.00","142,024.00"
2026-06-17,41,2026061705012524,CIT,47,16,14,"1,733.00","24,262.00"
2026-06-17,42,2026061705012494,CIT,71,7,13,"1,732.00","22,516.00"
2026-06-17,43,2026061705012493,CIT,42,7,30,"1,732.00","51,960.00"
2026-06-17,44,2026061705012492,CIT,58,7,10,"1,732.10","17,321.00"
2026-06-17,45,2026061705012491,CIT,17,7,50,"1,732.20","86,610.00"
2026-06-17,46,2026061705012947,CKHL,57,53,10,647.50,"6,475.00"
2026-06-17,47,2026061705012946,CKHL,57,34,10,640.00,"6,400.00"
2026-06-17,48,2026061705012945,CKHL,57,52,10,640.00,"6,400.00"
2026-06-17,49,2026061705012944,CKHL,57,19,10,638.00,"6,380.00"
2026-06-17,50,2026061705012943,CKHL,57,44,10,637.00,"6,370.00"
2026-06-17,51,2026061705012942,CKHL,57,34,10,633.00,"6,330.00"
2026-06-17,52,2026061705012753,CKHL,58,58,30,632.00,"18,960.00"
2026-06-17,53,2026061705012832,CLI,42,17,113,452.50,"51,132.50"
2026-06-17,54,2026061705012566,CLI,42,35,13,452.50,"5,882.50"
2026-06-17,55,2026061705012820,CMF2,38,58,200,10.00,"2,000.00"
2026-06-17,56,2026061705012982,DOLTI,51,17,875,375.00,"328,125.00"
2026-06-17,57,2026061705012903,DOLTI,32,86,200,372.00,"74,400.00"
2026-06-17,58,2026061705012902,DOLTI,58,86,10,372.50,"3,725.00"
2026-06-17,59,2026061705012901,DOLTI,14,86,50,373.00,"18,650.00"
2026-06-17,60,2026061705012900,DOLTI,42,86,"1,000",373.00,"373,000.00"
2026-06-17,61,2026061705012899,DOLTI,58,86,10,373.00,"3,730.00"
2026-06-17,62,2026061705012520,DOLTI,47,82,270,376.00,"101,520.00"
2026-06-17,63,2026061705012658,DOLTI,90,42,40,375.20,"15,008.00"
2026-06-17,64,2026061705012657,DOLTI,90,4,50,375.20,"18,760.00"
2026-06-17,65,2026061705012656,DOLTI,34,4,50,375.30,"18,765.00"
2026-06-17,66,2026061705012546,DOLTI,58,82,74,376.00,"27,824.00"
2026-06-17,67,2026061705012522,DOLTI,42,82,10,376.00,"3,760.00"
2026-06-17,68,2026061705012521,DOLTI,38,82,100,376.00,"37,600.00"
2026-06-17,69,2026061705012774,DOLTI,45,45,18,375.00,"6,750.00"
2026-06-17,70,2026061705012773,DOLTI,16,45,142,375.00,"53,250.00"
2026-06-17,71,2026061705012750,DOLTI,48,82,150,376.00,"56,400.00"
2026-06-17,72,2026061705012661,DOLTI,16,42,858,375.00,"321,750.00"
2026-06-17,73,2026061705012660,DOLTI,38,42,188,375.00,"70,500.00"
2026-06-17,74,2026061705012659,DOLTI,64,42,10,375.20,"3,752.00"
2026-06-17,75,2026061705012780,DOLTI,58,45,10,375.00,"3,750.00"
2026-06-17,76,2026061705012779,DOLTI,17,45,100,375.00,"37,500.00"
2026-06-17,77,2026061705012778,DOLTI,92,45,305,375.00,"114,375.00"
2026-06-17,78,2026061705012777,DOLTI,7,45,50,375.00,"18,750.00"
2026-06-17,79,2026061705012776,DOLTI,45,45,360,375.00,"135,000.00"
2026-06-17,80,2026061705012775,DOLTI,59,45,500,375.00,"187,500.00"
2026-06-17,81,2026061705012806,DOLTI,35,52,100,375.00,"37,500.00"
2026-06-17,82,2026061705012805,DOLTI,74,52,74,376.00,"27,824.00"
2026-06-17,83,2026061705012802,DOLTI,74,74,100,376.00,"37,600.00"
2026-06-17,84,2026061705012784,DOLTI,74,82,26,376.00,"9,776.00"
2026-06-17,85,2026061705012782,DOLTI,35,45,50,375.00,"18,750.00"
2026-06-17,86,2026061705012781,DOLTI,48,45,20,375.00,"7,500.00"
2026-06-17,87,2026061705012812,DOLTI,34,52,250,375.00,"93,750.00"
2026-06-17,88,2026061705012811,DOLTI,38,52,30,375.00,"11,250.00"
2026-06-17,89,2026061705012810,DOLTI,58,52,340,375.00,"127,500.00"
2026-06-17,90,2026061705012809,DOLTI,45,52,500,375.00,"187,500.00"
2026-06-17,91,2026061705012808,DOLTI,41,52,300,375.00,"112,500.00"
2026-06-17,92,2026061705012807,DOLTI,54,52,11,375.00,"4,125.00"
2026-06-17,93,2026061705012861,DOLTI,45,17,225,375.00,"84,375.00"
2026-06-17,94,2026061705012817,DOLTI,45,52,275,375.00,"103,125.00"
2026-06-17,95,2026061705012816,DOLTI,58,52,10,375.00,"3,750.00"
2026-06-17,96,2026061705012815,DOLTI,57,52,100,375.00,"37,500.00"
2026-06-17,97,2026061705012814,DOLTI,47,52,"1,000",375.00,"375,000.00"
2026-06-17,98,2026061705012813,DOLTI,34,52,10,375.00,"3,750.00"
2026-06-17,99,2026061705012892,DOLTI,45,86,10,374.00,"3,740.00"
2026-06-17,100,2026061705012891,DOLTI,45,86,300,374.00,"112,200.00"
2026-06-17,101,2026061705012890,DOLTI,26,86,20,374.00,"7,480.00"
2026-06-17,102,2026061705012889,DOLTI,40,86,300,374.00,"112,200.00"
2026-06-17,103,2026061705012888,DOLTI,45,86,20,374.00,"7,480.00"
2026-06-17,104,2026061705012887,DOLTI,64,86,50,374.50,"18,725.00"
2026-06-17,105,2026061705012898,DOLTI,68,86,40,373.50,"14,940.00"
2026-06-17,106,2026061705012897,DOLTI,8,86,300,373.50,"112,050.00"
2026-06-17,107,2026061705012896,DOLTI,7,86,100,373.50,"37,350.00"
2026-06-17,108,2026061705012895,DOLTI,45,86,500,373.90,"186,950.00"
2026-06-17,109,2026061705012894,DOLTI,42,86,40,374.00,"14,960.00"
2026-06-17,110,2026061705012893,DOLTI,57,86,50,374.00,"18,700.00"
2026-06-17,111,2026061705012972,DORDI,49,50,10,268.50,"2,685.00"
2026-06-17,112,2026061705012858,EHPL,42,6,90,397.00,"35,730.00"
