date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-06-22,1,2026062205012229,AHL,42,57,51,475.00,"24,225.00"
2026-06-22,2,2026062205012228,AHL,56,57,"1,449",475.00,"688,275.00"
2026-06-22,3,2026062205012115,AHL,56,57,135,479.00,"64,665.00"
2026-06-22,4,2026062205012114,AHL,56,58,10,478.00,"4,780.00"
2026-06-22,5,2026062205012113,AHL,56,40,50,478.00,"23,900.00"
2026-06-22,6,2026062205012112,AHL,56,40,100,477.00,"47,700.00"
2026-06-22,7,2026062205012111,AHL,56,33,100,476.90,"47,690.00"
2026-06-22,8,2026062205012110,AHL,56,56,40,476.00,"19,040.00"
2026-06-22,9,2026062205012109,AHL,56,36,10,476.00,"4,760.00"
2026-06-22,10,2026062205012108,AHL,56,44,55,476.00,"26,180.00"
2026-06-22,11,2026062205012070,BBC,58,14,10,"4,325.00","43,250.00"
2026-06-22,12,2026062205012268,BEDC,47,38,190,361.90,"68,761.00"
2026-06-22,13,2026062205012191,BEDC,74,38,10,361.90,"3,619.00"
2026-06-22,14,2026062205012123,BEDC,42,71,20,360.00,"7,200.00"
2026-06-22,15,2026062205012081,BEDC,47,71,275,360.00,"99,000.00"
2026-06-22,16,2026062205012185,BGWT,57,45,20,635.00,"12,700.00"
2026-06-22,17,2026062205012183,BGWT,41,45,28,635.00,"17,780.00"
2026-06-22,18,2026062205012182,BGWT,49,45,30,635.20,"19,056.00"
2026-06-22,19,2026062205011954,BHDC,66,57,61,450.20,"27,462.20"
2026-06-22,20,2026062205011953,BHDC,43,57,200,450.30,"90,060.00"
2026-06-22,21,2026062205011952,BHDC,66,57,415,450.60,"186,999.00"
2026-06-22,22,2026062205011951,BHDC,46,57,10,451.00,"4,510.00"
2026-06-22,23,2026062205011950,BHDC,28,57,100,451.00,"45,100.00"
2026-06-22,24,2026062205011949,BHDC,1,57,200,451.00,"90,200.00"
2026-06-22,25,2026062205011942,BHDC,46,57,10,452.00,"4,520.00"
2026-06-22,26,2026062205011941,BHDC,36,57,200,452.00,"90,400.00"
2026-06-22,27,2026062205011940,BHDC,64,57,186,452.00,"84,072.00"
2026-06-22,28,2026062205011948,BHDC,43,57,300,451.00,"135,300.00"
2026-06-22,29,2026062205011947,BHDC,21,57,94,451.00,"42,394.00"
2026-06-22,30,2026062205011946,BHDC,47,57,89,451.10,"40,147.90"
2026-06-22,31,2026062205011945,BHDC,19,57,200,451.40,"90,280.00"
2026-06-22,32,2026062205011944,BHDC,58,57,85,451.50,"38,377.50"
2026-06-22,33,2026062205011943,BHDC,35,57,50,452.00,"22,600.00"
2026-06-22,34,2026062205012279,BHL,58,14,171,214.30,"36,645.30"
2026-06-22,35,2026062205012189,BHL,45,16,322,214.00,"68,908.00"
2026-06-22,36,2026062205012188,BHL,36,16,37,214.00,"7,918.00"
2026-06-22,37,2026062205012187,BHL,58,16,10,214.00,"2,140.00"
2026-06-22,38,2026062205012186,BHL,22,16,75,214.00,"16,050.00"
2026-06-22,39,2026062205012106,BHL,22,58,425,214.00,"90,950.00"
2026-06-22,40,2026062205011932,BHL,57,46,210,214.50,"45,045.00"
2026-06-22,41,2026062205012099,BHL,22,58,937,214.30,"200,799.10"
2026-06-22,42,2026062205012098,BHL,32,58,613,214.40,"131,427.20"
2026-06-22,43,2026062205012097,BHL,16,58,40,214.40,"8,576.00"
2026-06-22,44,2026062205012063,BHL,26,46,100,214.50,"21,450.00"
2026-06-22,45,2026062205012055,BHL,16,62,100,214.40,"21,440.00"
2026-06-22,46,2026062205011933,BHL,36,46,75,214.50,"16,087.50"
2026-06-22,47,2026062205012105,BHL,47,58,"1,000",214.00,"214,000.00"
2026-06-22,48,2026062205012104,BHL,42,58,10,214.00,"2,140.00"
2026-06-22,49,2026062205012103,BHL,49,58,98,214.00,"20,972.00"
2026-06-22,50,2026062205012102,BHL,42,58,854,214.00,"182,756.00"
2026-06-22,51,2026062205012101,BHL,5,58,13,214.10,"2,783.30"
2026-06-22,52,2026062205012100,BHL,47,58,10,214.20,"2,142.00"
2026-06-22,53,2026062205012275,BHPL,34,42,12,530.00,"6,360.00"
2026-06-22,54,2026062205012274,BHPL,34,58,10,529.00,"5,290.00"
2026-06-22,55,2026062205012273,BHPL,34,26,50,528.00,"26,400.00"
2026-06-22,56,2026062205012272,BHPL,34,43,10,527.00,"5,270.00"
2026-06-22,57,2026062205012271,BHPL,34,32,60,527.00,"31,620.00"
2026-06-22,58,2026062205012270,BHPL,34,56,58,525.00,"30,450.00"
2026-06-22,59,2026062205012077,BHPL,34,32,235,522.90,"122,881.50"
2026-06-22,60,2026062205012076,BHPL,34,32,15,522.90,"7,843.50"
2026-06-22,61,2026062205012166,BHPL,34,56,12,525.00,"6,300.00"
2026-06-22,62,2026062205012165,BHPL,34,49,38,524.00,"19,912.00"
2026-06-22,63,2026062205012164,BHPL,34,32,250,523.90,"130,975.00"
2026-06-22,64,2026062205012080,BHPL,34,49,128,524.00,"67,072.00"
2026-06-22,65,2026062205012079,BHPL,34,14,30,524.00,"15,720.00"
2026-06-22,66,2026062205012078,BHPL,34,57,607,523.00,"317,461.00"
2026-06-22,67,2026062205012150,BNHC,94,57,10,326.90,"3,269.00"
2026-06-22,68,2026062205012149,BNHC,94,45,10,325.00,"3,250.00"
2026-06-22,69,2026062205012148,BNHC,94,40,100,324.90,"32,490.00"
2026-06-22,70,2026062205012147,BNHC,94,1,10,324.90,"3,249.00"
2026-06-22,71,2026062205012256,CHDC,58,39,10,"2,236.00","22,360.00"
2026-06-22,72,2026062205012048,CHDC,56,39,10,"2,248.00","22,480.00"
2026-06-22,73,2026062205012047,CHDC,56,32,20,"2,240.00","44,800.00"
2026-06-22,74,2026062205012040,CIT,14,6,19,"1,722.00","32,718.00"
2026-06-22,75,2026062205011906,CIT,58,19,10,"1,721.10","17,211.00"
2026-06-22,76,2026062205011905,CIT,53,19,20,"1,721.20","34,424.00"
2026-06-22,77,2026062205011904,CIT,51,19,10,"1,721.30","17,213.00"
2026-06-22,78,2026062205011903,CIT,41,19,100,"1,721.30","172,130.00"
2026-06-22,79,2026062205011902,CIT,45,19,20,"1,721.40","34,428.00"
2026-06-22,80,2026062205011901,CIT,58,19,50,"1,721.50","86,075.00"
2026-06-22,81,2026062205012061,CLI,57,57,150,450.20,"67,530.00"
2026-06-22,82,2026062205012039,CLI,57,87,15,450.50,"6,757.50"
2026-06-22,83,2026062205011844,CLI,57,5,13,450.20,"5,852.60"
2026-06-22,84,2026062205012088,DOLTI,16,49,100,365.00,"36,500.00"
2026-06-22,85,2026062205012086,DOLTI,85,18,10,367.00,"3,670.00"
2026-06-22,86,2026062205012054,DOLTI,16,21,50,365.00,"18,250.00"
2026-06-22,87,2026062205011938,DOLTI,16,21,30,365.00,"10,950.00"
2026-06-22,88,2026062205011937,DOLTI,16,57,10,365.00,"3,650.00"
2026-06-22,89,2026062205012315,DORDI,94,32,10,264.50,"2,645.00"
2026-06-22,90,2026062205012142,DORDI,58,42,10,264.00,"2,640.00"
2026-06-22,91,2026062205012141,DORDI,6,42,50,264.00,"13,200.00"
2026-06-22,92,2026062205012140,DORDI,48,42,50,264.00,"13,200.00"
2026-06-22,93,2026062205012053,DORDI,17,32,200,264.50,"52,900.00"
2026-06-22,94,2026062205012139,DORDI,58,42,200,264.00,"52,800.00"
2026-06-22,95,2026062205012138,DORDI,51,42,300,264.00,"79,200.00"
2026-06-22,96,2026062205012137,DORDI,80,42,679,264.00,"179,256.00"
2026-06-22,97,2026062205012120,DORDI,80,87,15,264.00,"3,960.00"
2026-06-22,98,2026062205012119,DORDI,62,87,80,264.20,"21,136.00"
2026-06-22,99,2026062205012107,DORDI,62,4,20,264.20,"5,284.00"
2026-06-22,100,2026062205011908,EHPL,56,38,475,385.00,"182,875.00"
2026-06-22,101,2026062205011907,EHPL,56,3,25,384.20,"9,605.00"
