date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-08-24,1,2026082405010709,AHL,42,22,10,397.90,"3,979.00"
2026-08-24,2,2026082405010589,AHL,42,11,20,391.00,"7,820.00"
2026-08-24,3,2026082405010536,AHL,42,46,300,390.00,"117,000.00"
2026-08-24,4,2026082405010803,BBC,101,13,10,"4,076.00","40,760.00"
2026-08-24,5,2026082405010625,BEDC,26,51,100,302.00,"30,200.00"
2026-08-24,6,2026082405010555,BEDC,58,51,26,302.00,"7,852.00"
2026-08-24,7,2026082405010799,BHDC,1,41,10,427.80,"4,278.00"
2026-08-24,8,2026082405010598,BHDC,34,41,10,427.80,"4,278.00"
2026-08-24,9,2026082405010492,BHDC,22,41,10,427.80,"4,278.00"
2026-08-24,10,2026082405010391,BHDC,49,45,15,423.00,"6,345.00"
2026-08-24,11,2026082405010390,BHDC,57,45,85,423.00,"35,955.00"
2026-08-24,12,2026082405010476,BHL,42,50,245,205.00,"50,225.00"
2026-08-24,13,2026082405010475,BHL,16,50,230,205.00,"47,150.00"
2026-08-24,14,2026082405010416,BHL,16,3,20,205.00,"4,100.00"
2026-08-24,15,2026082405010341,BHPL,34,42,10,470.00,"4,700.00"
2026-08-24,16,2026082405010340,BHPL,34,36,100,469.90,"46,990.00"
2026-08-24,17,2026082405010339,BHPL,34,60,100,466.00,"46,600.00"
2026-08-24,18,2026082405010805,BNHC,45,18,20,276.70,"5,534.00"
2026-08-24,19,2026082405010404,BNHC,34,59,130,275.10,"35,763.00"
2026-08-24,20,2026082405010343,BNHC,34,49,336,275.10,"92,433.60"
2026-08-24,21,2026082405010342,BNHC,18,49,80,275.20,"22,016.00"
2026-08-24,22,2026082405010484,CHDC,66,84,10,"2,218.00","22,180.00"
2026-08-24,23,2026082405010465,CHDC,66,84,30,"2,218.00","66,540.00"
2026-08-24,24,2026082405010791,CIT,58,29,6,"1,682.00","10,092.00"
2026-08-24,25,2026082405010624,CIT,58,56,6,"1,680.00","10,080.00"
2026-08-24,26,2026082405010622,CIT,14,58,26,"1,681.00","43,706.00"
2026-08-24,27,2026082405010608,CIT,57,58,10,"1,681.10","16,811.00"
