date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-09-24,1,2026092405016540,BEDC,58,45,50,308.90,"15,445.00"
2026-09-24,2,2026092405016374,BEDC,32,38,30,308.80,"9,264.00"
2026-09-24,3,2026092405016373,BEDC,32,74,70,308.80,"21,616.00"
2026-09-24,4,2026092405016566,BGWT,42,49,25,492.00,"12,300.00"
2026-09-24,5,2026092405016538,BHDC,90,58,200,433.40,"86,680.00"
2026-09-24,6,2026092405016508,BHDC,57,36,250,434.80,"108,700.00"
2026-09-24,7,2026092405016506,BHDC,42,36,10,434.80,"4,348.00"
2026-09-24,8,2026092405016371,BHDC,42,6,10,434.70,"4,347.00"
2026-09-24,9,2026092405016797,BHL,45,57,345,212.20,"73,209.00"
2026-09-24,10,2026092405016796,BHL,58,57,250,212.30,"53,075.00"
2026-09-24,11,2026092405016795,BHL,35,57,300,212.50,"63,750.00"
2026-09-24,12,2026092405016794,BHL,39,57,500,212.50,"106,250.00"
2026-09-24,13,2026092405016793,BHL,51,57,200,212.50,"42,500.00"
2026-09-24,14,2026092405016792,BHL,45,57,480,212.50,"102,000.00"
2026-09-24,15,2026092405016399,BHL,11,36,180,213.00,"38,340.00"
2026-09-24,16,2026092405016398,BHL,11,95,810,213.00,"172,530.00"
2026-09-24,17,2026092405016397,BHL,11,59,10,212.60,"2,126.00"
2026-09-24,18,2026092405016344,BHL,29,57,100,212.50,"21,250.00"
2026-09-24,19,2026092405016791,BHL,34,57,925,212.50,"196,562.50"
2026-09-24,20,2026092405016706,BHL,34,3,50,212.50,"10,625.00"
2026-09-24,21,2026092405016574,BHL,34,6,25,212.50,"5,312.50"
2026-09-24,22,2026092405016573,BHL,29,6,25,212.50,"5,312.50"
2026-09-24,23,2026092405016495,BHL,29,19,100,212.50,"21,250.00"
2026-09-24,24,2026092405016477,BHL,29,6,10,212.50,"2,125.00"
2026-09-24,25,2026092405016757,BNHC,34,21,10,278.50,"2,785.00"
2026-09-24,26,2026092405016761,CHDC,86,94,10,"2,402.00","24,020.00"
2026-09-24,27,2026092405016563,CHDC,19,34,495,"2,400.00","1,188,000.00"
2026-09-24,28,2026092405016503,CHDC,72,94,60,"2,402.00","144,120.00"
2026-09-24,29,2026092405016502,CHDC,72,38,100,"2,402.00","240,200.00"
2026-09-24,30,2026092405016501,CHDC,72,65,10,"2,401.00","24,010.00"
2026-09-24,31,2026092405016368,CHDC,19,49,11,"2,394.00","26,334.00"
2026-09-24,32,2026092405016691,CIT,18,59,10,"1,747.00","17,470.00"
2026-09-24,33,2026092405016649,CIT,45,6,80,"1,740.10","139,208.00"
2026-09-24,34,2026092405016648,CIT,40,6,10,"1,741.00","17,410.00"
2026-09-24,35,2026092405016647,CIT,49,6,10,"1,741.00","17,410.00"
2026-09-24,36,2026092405016583,CIT,49,49,24,"1,741.00","41,784.00"
2026-09-24,37,2026092405016725,CKHL,45,11,10,582.40,"5,824.00"
2026-09-24,38,2026092405016679,CKHL,82,11,10,582.40,"5,824.00"
2026-09-24,39,2026092405016812,DOLTI,13,62,175,299.00,"52,325.00"
2026-09-24,40,2026092405016811,DOLTI,52,62,100,299.00,"29,900.00"
2026-09-24,41,2026092405016810,DOLTI,58,62,25,299.00,"7,475.00"
2026-09-24,42,2026092405016809,DOLTI,42,62,50,299.30,"14,965.00"
2026-09-24,43,2026092405016808,DOLTI,48,62,450,299.40,"134,730.00"
2026-09-24,44,2026092405016497,DOLTI,17,58,10,300.00,"3,000.00"
2026-09-24,45,2026092405016453,DOLTI,48,67,50,299.40,"14,970.00"
2026-09-24,46,2026092405016832,DORDI,41,44,50,263.00,"13,150.00"
2026-09-24,47,2026092405016702,DORDI,34,44,10,263.00,"2,630.00"
2026-09-24,48,2026092405016701,DORDI,34,96,10,263.00,"2,630.00"
2026-09-24,49,2026092405016700,DORDI,34,34,50,262.90,"13,145.00"
2026-09-24,50,2026092405016699,DORDI,34,13,60,262.90,"15,774.00"
2026-09-24,51,2026092405016827,EHPL,29,41,10,326.80,"3,268.00"
2026-09-24,52,2026092405016826,EHPL,29,6,10,326.00,"3,260.00"
2026-09-24,53,2026092405016756,ENL,49,14,190,550.60,"104,614.00"
2026-09-24,54,2026092405016755,ENL,49,14,10,551.00,"5,510.00"
2026-09-24,55,2026092405016634,ENL,52,14,200,553.90,"110,780.00"
2026-09-24,56,2026092405016843,GCIL,45,42,300,401.30,"120,390.00"
2026-09-24,57,2026092405016823,GCIL,58,84,38,404.90,"15,386.20"
2026-09-24,58,2026092405016822,GCIL,58,34,12,402.00,"4,824.00"
2026-09-24,59,2026092405016385,GCIL,45,22,26,401.90,"10,449.40"
2026-09-24,60,2026092405016384,GCIL,45,57,20,401.00,"8,020.00"
2026-09-24,61,2026092405016361,GCIL,45,33,180,401.00,"72,180.00"
2026-09-24,62,2026092405016391,GCIL,45,38,100,402.00,"40,200.00"
2026-09-24,63,2026092405016390,GCIL,45,37,500,402.00,"201,000.00"
2026-09-24,64,2026092405016389,GCIL,45,47,50,402.00,"20,100.00"
2026-09-24,65,2026092405016388,GCIL,45,58,85,402.00,"34,170.00"
2026-09-24,66,2026092405016387,GCIL,45,42,50,402.00,"20,100.00"
2026-09-24,67,2026092405016386,GCIL,45,13,40,402.00,"16,080.00"
2026-09-24,68,2026092405016467,GCIL,45,25,100,401.90,"40,190.00"
2026-09-24,69,2026092405016393,GCIL,45,58,129,402.00,"51,858.00"
2026-09-24,70,2026092405016392,GCIL,45,38,20,402.00,"8,040.00"
2026-09-24,71,2026092405016472,GCIL,45,47,92,403.00,"37,076.00"
2026-09-24,72,2026092405016471,GCIL,45,7,500,402.90,"201,450.00"
2026-09-24,73,2026092405016470,GCIL,45,6,100,402.90,"40,290.00"
2026-09-24,74,2026092405016469,GCIL,45,40,137,402.10,"55,087.70"
2026-09-24,75,2026092405016468,GCIL,45,58,71,402.00,"28,542.00"
2026-09-24,76,2026092405016509,GCIL,49,42,100,401.20,"40,120.00"
2026-09-24,77,2026092405016483,GCIL,45,32,200,401.00,"80,200.00"
2026-09-24,78,2026092405016559,GCIL,49,59,50,401.20,"20,060.00"
2026-09-24,79,2026092405016653,GCIL,49,54,100,401.20,"40,120.00"
2026-09-24,80,2026092405016664,GCIL,58,47,48,403.00,"19,344.00"
2026-09-24,81,2026092405016663,GCIL,58,45,20,402.00,"8,040.00"
2026-09-24,82,2026092405016662,GCIL,58,6,20,402.00,"8,040.00"
2026-09-24,83,2026092405016661,GCIL,58,42,25,402.00,"10,050.00"
2026-09-24,84,2026092405016660,GCIL,58,38,12,402.00,"4,824.00"
2026-09-24,85,2026092405016658,GCIL,49,58,80,401.20,"32,096.00"
2026-09-24,86,2026092405016670,GCIL,58,14,130,403.20,"52,416.00"
2026-09-24,87,2026092405016669,GCIL,58,49,12,403.00,"4,836.00"
2026-09-24,88,2026092405016668,GCIL,58,53,25,403.00,"10,075.00"
2026-09-24,89,2026092405016667,GCIL,58,4,250,403.00,"100,750.00"
2026-09-24,90,2026092405016666,GCIL,58,33,30,403.00,"12,090.00"
2026-09-24,91,2026092405016665,GCIL,58,32,10,403.00,"4,030.00"
2026-09-24,92,2026092405016674,GCIL,58,34,408,404.00,"164,832.00"
2026-09-24,93,2026092405016673,GCIL,58,29,718,404.00,"290,072.00"
2026-09-24,94,2026092405016672,GCIL,58,36,282,403.50,"113,787.00"
2026-09-24,95,2026092405016671,GCIL,58,32,10,403.50,"4,035.00"
2026-09-24,96,2026092405016766,GCIL,58,34,292,404.00,"117,968.00"
2026-09-24,97,2026092405016737,GCIL,45,17,550,401.30,"220,715.00"
2026-09-24,98,2026092405016772,GCIL,58,52,13,404.00,"5,252.00"
2026-09-24,99,2026092405016771,GCIL,58,50,81,404.00,"32,724.00"
2026-09-24,100,2026092405016770,GCIL,58,25,300,404.00,"121,200.00"
2026-09-24,101,2026092405016769,GCIL,58,19,12,404.00,"4,848.00"
2026-09-24,102,2026092405016768,GCIL,58,42,12,404.00,"4,848.00"
2026-09-24,103,2026092405016767,GCIL,58,58,12,404.00,"4,848.00"
2026-09-24,104,2026092405016776,GCIL,58,84,148,404.90,"59,925.20"
2026-09-24,105,2026092405016775,GCIL,58,25,10,404.80,"4,048.00"
2026-09-24,106,2026092405016774,GCIL,58,32,20,404.50,"8,090.00"
2026-09-24,107,2026092405016773,GCIL,58,25,100,404.00,"40,400.00"
2026-09-24,108,2026092405016800,GIBF1,46,49,500,11.70,"5,850.00"
2026-09-24,109,2026092405016719,GIBF1,7,45,"9,100",11.64,"105,924.00"
2026-09-24,110,2026092405016718,GIBF1,39,45,900,11.64,"10,476.00"
2026-09-24,111,2026092405016717,GIBF1,35,45,"5,000",11.65,"58,250.00"
2026-09-24,112,2026092405016687,GIBF1,46,49,900,11.70,"10,530.00"
2026-09-24,113,2026092405016478,GIBF1,46,58,945,11.69,"11,047.05"
2026-09-24,114,2026092405016432,GIBF1,39,58,100,11.64,"1,164.00"
2026-09-24,115,2026092405016753,GVL,74,57,125,489.30,"61,162.50"
2026-09-24,116,2026092405016716,GVL,74,58,175,489.30,"85,627.50"
2026-09-24,117,2026092405016715,GVL,74,58,25,489.40,"12,235.00"
2026-09-24,118,2026092405016825,HATHY,28,63,368,452.90,"166,667.20"
2026-09-24,119,2026092405016824,HATHY,28,57,132,450.00,"59,400.00"
2026-09-24,120,2026092405016785,HATHY,59,57,50,450.00,"22,500.00"
2026-09-24,121,2026092405016752,HATHY,42,66,380,452.80,"172,064.00"
2026-09-24,122,2026092405016714,HATHY,44,66,100,452.80,"45,280.00"
2026-09-24,123,2026092405016694,HATHY,22,66,10,452.80,"4,528.00"
2026-09-24,124,2026092405016365,HATHY,33,63,200,450.10,"90,020.00"
2026-09-24,125,2026092405016364,HATHY,33,63,500,451.00,"225,500.00"
2026-09-24,126,2026092405016354,HATHY,62,7,100,450.70,"45,070.00"
2026-09-24,127,2026092405016461,HATHY,19,63,100,448.30,"44,830.00"
2026-09-24,128,2026092405016460,HATHY,38,63,10,450.00,"4,500.00"
2026-09-24,129,2026092405016459,HATHY,3,63,10,450.70,"4,507.00"
2026-09-24,130,2026092405016450,HATHY,28,66,10,452.80,"4,528.00"
2026-09-24,131,2026092405016367,HATHY,59,63,275,448.20,"123,255.00"
2026-09-24,132,2026092405016366,HATHY,49,63,25,448.20,"11,205.00"
2026-09-24,133,2026092405016585,HATHY,56,64,100,448.30,"44,830.00"
2026-09-24,134,2026092405016584,HATHY,48,64,10,450.00,"4,500.00"
2026-09-24,135,2026092405016465,HATHY,54,63,84,448.00,"37,632.00"
2026-09-24,136,2026092405016464,HATHY,6,63,51,448.00,"22,848.00"
2026-09-24,137,2026092405016463,HATHY,45,63,20,448.20,"8,964.00"
2026-09-24,138,2026092405016462,HATHY,59,63,725,448.20,"324,945.00"
2026-09-24,139,2026092405016591,HATHY,58,64,100,448.00,"44,800.00"
2026-09-24,140,2026092405016590,HATHY,35,64,100,448.10,"44,810.00"
2026-09-24,141,2026092405016589,HATHY,78,64,25,448.10,"11,202.50"
2026-09-24,142,2026092405016588,HATHY,22,64,50,448.10,"22,405.00"
2026-09-24,143,2026092405016587,HATHY,62,64,20,448.10,"8,962.00"
2026-09-24,144,2026092405016586,HATHY,35,64,500,448.20,"224,100.00"
2026-09-24,145,2026092405016597,HATHY,34,64,100,448.00,"44,800.00"
2026-09-24,146,2026092405016596,HATHY,26,64,100,448.00,"44,800.00"
2026-09-24,147,2026092405016595,HATHY,58,64,100,448.00,"44,800.00"
2026-09-24,148,2026092405016594,HATHY,13,64,85,448.00,"38,080.00"
2026-09-24,149,2026092405016593,HATHY,52,64,30,448.00,"13,440.00"
2026-09-24,150,2026092405016592,HATHY,53,64,20,448.00,"8,960.00"
2026-09-24,151,2026092405016605,HATHY,16,63,490,448.00,"219,520.00"
2026-09-24,152,2026092405016602,HATHY,16,64,10,448.00,"4,480.00"
2026-09-24,153,2026092405016601,HATHY,45,64,500,448.00,"224,000.00"
2026-09-24,154,2026092405016600,HATHY,64,64,50,448.00,"22,400.00"
2026-09-24,155,2026092405016599,HATHY,49,64,100,448.00,"44,800.00"
2026-09-24,156,2026092405016598,HATHY,48,64,"1,000",448.00,"448,000.00"
2026-09-24,157,2026092405016611,HATHY,47,63,500,447.00,"223,500.00"
2026-09-24,158,2026092405016610,HATHY,32,63,500,447.10,"223,550.00"
2026-09-24,159,2026092405016609,HATHY,48,63,100,447.10,"44,710.00"
