date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-07-23,1,2026072305009475,AHL,49,50,70,432.00,"30,240.00"
2026-07-23,2,2026072305009474,AHL,58,50,10,432.10,"4,321.00"
2026-07-23,3,2026072305009365,AHL,49,50,20,432.20,"8,644.00"
2026-07-23,4,2026072305009497,BBC,58,17,10,"4,390.00","43,900.00"
2026-07-23,5,2026072305009464,BBC,58,49,11,"4,380.00","48,180.00"
2026-07-23,6,2026072305009423,BBC,58,49,30,"4,380.00","131,400.00"
2026-07-23,7,2026072305009422,BBC,58,48,10,"4,379.00","43,790.00"
2026-07-23,8,2026072305009421,BBC,58,1,10,"4,377.00","43,770.00"
2026-07-23,9,2026072305009377,BBC,58,56,10,"4,330.00","43,300.00"
2026-07-23,10,2026072305009376,BBC,58,41,10,"4,325.00","43,250.00"
2026-07-23,11,2026072305009383,BBC,58,63,10,"4,348.00","43,480.00"
2026-07-23,12,2026072305009382,BBC,58,88,10,"4,346.00","43,460.00"
2026-07-23,13,2026072305009381,BBC,58,38,10,"4,345.00","43,450.00"
2026-07-23,14,2026072305009380,BBC,58,1,10,"4,345.00","43,450.00"
2026-07-23,15,2026072305009379,BBC,58,26,10,"4,344.00","43,440.00"
2026-07-23,16,2026072305009378,BBC,58,1,10,"4,339.00","43,390.00"
2026-07-23,17,2026072305009420,BBC,58,41,10,"4,372.00","43,720.00"
2026-07-23,18,2026072305009419,BBC,58,7,10,"4,365.00","43,650.00"
2026-07-23,19,2026072305009418,BBC,58,17,30,"4,350.00","130,500.00"
2026-07-23,20,2026072305009384,BBC,58,17,20,"4,350.00","87,000.00"
2026-07-23,21,2026072305009577,BEDC,14,47,12,330.00,"3,960.00"
2026-07-23,22,2026072305009576,BEDC,62,47,100,330.50,"33,050.00"
2026-07-23,23,2026072305009413,BEDC,41,39,10,331.30,"3,313.00"
2026-07-23,24,2026072305009231,BHDC,35,34,20,444.90,"8,898.00"
2026-07-23,25,2026072305009614,BHL,44,29,500,215.20,"107,600.00"
2026-07-23,26,2026072305009560,BHL,44,58,20,215.20,"4,304.00"
2026-07-23,27,2026072305009412,BHL,58,36,100,215.90,"21,590.00"
2026-07-23,28,2026072305009397,BHL,57,6,10,216.50,"2,165.00"
2026-07-23,29,2026072305009354,BHL,16,38,133,215.00,"28,595.00"
2026-07-23,30,2026072305009353,BHL,57,38,200,215.00,"43,000.00"
2026-07-23,31,2026072305009201,BHL,48,17,10,216.00,"2,160.00"
2026-07-23,32,2026072305009352,BHL,46,38,21,215.00,"4,515.00"
2026-07-23,33,2026072305009351,BHL,17,38,300,215.10,"64,530.00"
2026-07-23,34,2026072305009350,BHL,49,38,20,215.20,"4,304.00"
2026-07-23,35,2026072305009286,BHL,38,38,20,216.00,"4,320.00"
